0.07	69.0	19.6
0.09	69.0	12.0
0.12	68.6	26.2
0.17	83	8
0.179	75.0	4.0
0.199	75.0	5.0
0.200	72.9	29.6
0.24	79.69	3.32
0.27	77	14
0.280	88.8	36.6
0.30	81.7	5.0
0.31	78.18	4.74
0.34	83.8	2.96
0.35	82.7	9.1
0.352	83	14
0.36	79.94	3.38
0.38	81.5	1.9
0.3802	83.0	13.5
0.39	95	17
0.40	82.04	2.03
0.4004	77	10.2
0.4247	87.1	11.2
0.43	86.45	3.27
0.432	82.6	7.8
0.44	84.81	1.83
0.4497	92.8	12.9
0.470	89	34
0.4783	80.9	9.0
0.481	87.79	2.03
0.483	97	62
0.510	90.4	1.9
0.52	94.35	2.64
0.56	93.34	2.3
0.59	98.48	3.18
0.593	104.0	13.0
0.6	87.9	6.1
0.610	97.3	2.1
0.64	98.02	2.98
0.680	92.0	8.0
0.73	97.3	7
0.781	105.0	12
0.875	125	17
0.880	90.0	40.0
0.900	117	23.0
1.037	154	20
1.300	168	17
1.363	160	33.6
1.430	177	18
1.530	140	14
1.750	202	40
1.965	186.5	50.4
2.30	224	8.6
2.33	224	8
2.340	222	7
2.360	226	8
